match_id,players_in_chat,percent_players_in_chat
947,7,70.0
948,6,60.0
949,1,10.0
950,9,90.0
951,7,70.0
952,7,70.0
953,7,70.0
954,3,30.0
955,3,30.0
956,5,50.0
957,5,50.0
958,10,100.0
959,8,80.0
960,6,60.0
961,8,80.0
962,2,20.0
963,5,50.0
964,3,30.0
965,7,70.0
966,5,50.0
967,1,10.0
968,7,70.0
969,7,70.0
970,6,60.0
971,6,60.0
972,6,60.0
973,9,90.0
974,5,50.0
975,6,60.0
976,5,50.0
977,5,50.0
978,6,60.0
979,4,40.0
980,8,80.0
981,5,50.0
982,5,50.0
983,6,60.0
984,7,70.0
985,8,80.0
986,8,80.0
987,9,90.0
988,8,80.0
989,4,40.0
990,9,90.0
991,9,90.0
992,6,60.0
993,5,50.0
994,5,50.0
995,7,70.0
996,6,60.0
997,4,40.0
998,5,50.0
999,6,60.0
1000,6,60.0
1001,7,70.0
1002,8,80.0
1003,7,70.0
1004,7,70.0
1005,7,70.0
1006,7,70.0
1007,5,50.0
1008,5,50.0
1009,9,90.0
1010,8,80.0
1011,8,80.0
1012,2,20.0
1013,10,100.0
1014,9,90.0
1015,5,50.0
1016,7,70.0
1017,7,70.0
1018,2,20.0
1019,7,70.0
1020,5,50.0
1021,6,60.0
1022,8,80.0
1023,8,80.0
1024,8,80.0
1025,7,70.0
1026,8,80.0
1027,4,40.0
1028,4,40.0
1029,7,70.0
1030,7,70.0
1031,7,70.0
1032,5,50.0
1033,6,60.0
1034,5,50.0
1035,2,20.0
1036,8,80.0
1037,9,90.0
1038,8,80.0
1039,6,60.0
1040,8,80.0
1041,6,60.0
1042,10,100.0
1043,7,70.0
1044,9,90.0
1045,7,70.0
1046,7,70.0
1047,7,70.0
1048,8,80.0
1049,10,100.0
1050,10,100.0
1051,3,30.0
1052,6,60.0
1053,7,70.0
1054,7,70.0
1055,8,80.0
1056,6,60.0
1057,6,60.0
1058,7,70.0
1059,6,60.0
1060,8,80.0
1061,6,60.0
1062,7,70.0
1063,7,70.0
1064,3,30.0
1065,8,80.0
1066,8,80.0
1067,2,20.0
1068,5,50.0
1069,9,90.0
1070,8,80.0
1071,2,20.0
1072,2,20.0
1073,3,30.0
1074,7,70.0
1075,5,50.0
1076,6,60.0
1077,6,60.0
1079,6,60.0
1080,7,70.0
1081,8,80.0
1082,6,60.0
1083,4,40.0
1084,8,80.0
1085,6,60.0
1086,9,90.0
1087,8,80.0
1088,3,30.0
1089,7,70.0
1090,7,70.0
1091,5,50.0
1092,7,70.0
1093,4,40.0
1094,8,80.0
1095,5,50.0
1096,6,60.0
1097,8,80.0
1098,6,60.0
1099,7,70.0
1100,4,40.0
1101,8,80.0
1102,9,90.0
1103,6,60.0
1104,8,80.0
1105,7,70.0
1106,6,60.0
1107,5,50.0
1108,9,90.0
1109,9,90.0
1110,5,50.0
1111,5,50.0
1112,9,90.0
1113,6,60.0
1114,6,60.0
1115,5,50.0
1116,8,80.0
1117,8,80.0
1118,3,30.0
1119,6,60.0
1120,9,90.0
1121,4,40.0
1122,9,90.0
1123,7,70.0
1124,5,50.0
1125,7,70.0
1126,8,80.0
1127,10,100.0
1128,8,80.0
1129,6,60.0
1130,9,90.0
1132,4,40.0
1133,7,70.0
1134,4,40.0
1135,5,50.0
1136,1,10.0
1137,7,70.0
1138,5,50.0
1139,6,60.0
1140,9,90.0
1141,6,60.0
1142,5,50.0
1143,7,70.0
1144,8,80.0
1145,6,60.0
1146,3,30.0
1147,7,70.0
1148,4,40.0
1149,7,70.0
1150,7,70.0
1151,8,80.0
1152,5,50.0
1153,5,50.0
1154,5,50.0
1155,1,10.0
1156,8,80.0
1157,3,30.0
1158,8,80.0
1159,3,30.0
1160,3,30.0
1161,5,50.0
1162,5,50.0
1163,5,50.0
1164,6,60.0
1165,3,30.0
1166,9,90.0
1167,10,100.0
1168,9,90.0
1169,5,50.0
1170,2,20.0
1171,4,40.0
1172,3,30.0
1173,9,90.0
1174,9,90.0
1175,8,80.0
1176,7,70.0
1177,6,60.0
1178,6,60.0
1179,6,60.0
1180,4,40.0
1181,6,60.0
1182,7,70.0
1183,7,70.0
1184,6,60.0
1185,6,60.0
1186,7,70.0
1187,10,100.0
1188,3,30.0
1189,5,50.0
1190,5,50.0
1191,9,90.0
1192,6,60.0
1193,8,80.0
1194,7,70.0
1195,4,40.0
1196,4,40.0
1197,5,50.0
1198,8,80.0
1199,5,50.0
1200,7,70.0
1201,5,50.0
1202,7,70.0
1203,4,40.0
1204,6,60.0
1205,7,70.0
1206,9,90.0
1207,7,70.0
1208,6,60.0
1209,8,80.0
1210,8,80.0
1211,8,80.0
1212,5,50.0
1213,1,10.0
1214,1,10.0
1215,5,50.0
1216,6,60.0
1217,2,20.0
1218,6,60.0
1219,5,50.0
1220,5,50.0
1221,2,20.0
1222,6,60.0
1223,9,90.0
1224,4,40.0
1225,4,40.0
1226,9,90.0
1227,4,40.0
1228,9,90.0
1229,8,80.0
1230,5,50.0
1231,6,60.0
1232,6,60.0
1233,5,50.0
1234,6,60.0
1235,5,50.0
1236,5,50.0
1237,8,80.0
1238,5,50.0
1239,8,80.0
1240,9,90.0
1241,7,70.0
1242,4,40.0
1243,4,40.0
1244,7,70.0
1245,4,40.0
1246,9,90.0
1247,4,40.0
1248,6,60.0
1249,5,50.0
1250,7,70.0
1251,8,80.0
1252,8,80.0
1253,8,80.0
1254,5,50.0
1255,7,70.0
1256,5,50.0
1257,5,50.0
1258,2,20.0
1259,8,80.0
1260,6,60.0
1261,7,70.0
1262,6,60.0
1263,5,50.0
1264,6,60.0
1265,4,40.0
1266,7,70.0
1267,3,30.0
1268,7,70.0
1269,4,40.0
1270,8,80.0
1271,6,60.0
1272,7,70.0
1273,8,80.0
1274,2,20.0
1275,7,70.0
1276,6,60.0
1277,7,70.0
1278,4,40.0
1279,5,50.0
1280,4,40.0
1281,3,30.0
1283,7,70.0
1284,9,90.0
1285,4,40.0
1286,2,20.0
1287,8,80.0
1288,8,80.0
1289,7,70.0
1290,4,40.0
1291,5,50.0
1292,5,50.0
1293,3,30.0
1294,7,70.0
1295,2,20.0
1296,10,100.0
1297,8,80.0
1298,8,80.0
1299,4,40.0
1300,7,70.0
1301,7,70.0
1302,6,60.0
1303,8,80.0
1304,6,60.0
1305,6,60.0
1306,8,80.0
1307,3,30.0
1308,8,80.0
1309,7,70.0
1310,6,60.0
1311,7,70.0
1312,6,60.0
1313,6,60.0
1314,5,50.0
1315,6,60.0
1316,4,40.0
1317,7,70.0
1318,4,40.0
1319,3,30.0
1320,8,80.0
1321,5,50.0
1322,7,70.0
1323,3,30.0
1324,6,60.0
1325,7,70.0
1326,5,50.0
1327,6,60.0
1328,7,70.0
1329,8,80.0
1330,7,70.0
1331,7,70.0
1332,6,60.0
1333,7,70.0
1334,6,60.0
1335,4,40.0
1336,7,70.0
1337,7,70.0
1338,8,80.0
1339,6,60.0
1340,1,10.0
1341,7,70.0
1342,4,40.0
1343,4,40.0
1344,8,80.0
1345,8,80.0
1346,6,60.0
1347,5,50.0
1348,6,60.0
1349,5,50.0
1350,7,70.0
1351,6,60.0
1352,8,80.0
1353,5,50.0
1354,9,90.0
1355,7,70.0
1356,3,30.0
1357,4,40.0
1358,6,60.0
1359,9,90.0
1360,8,80.0
1361,8,80.0
1362,6,60.0
1363,6,60.0
1364,2,20.0
1365,4,40.0
1366,7,70.0
1367,6,60.0
1368,6,60.0
1369,7,70.0
1370,4,40.0
1371,6,60.0
1372,8,80.0
1373,5,50.0
1374,5,50.0
1375,7,70.0
1376,5,50.0
1377,8,80.0
1378,6,60.0
1379,8,80.0
1380,5,50.0
1381,8,80.0
1382,7,70.0
1383,10,100.0
1384,8,80.0
1385,6,60.0
1386,7,70.0
1387,4,40.0
1388,5,50.0
1389,9,90.0
1390,3,30.0
1391,4,40.0
1392,8,80.0
1393,8,80.0
1394,8,80.0
1396,6,60.0
1397,7,70.0
1398,7,70.0
1399,3,30.0
1400,5,50.0
1401,7,70.0
1402,6,60.0
1403,3,30.0
1404,8,80.0
1405,8,80.0
1406,8,80.0
